100円ショップ[名]：100日元店
Tシャツ[名]：T恤衫
〜かん, 〜感[接尾]：…感
くじ[名]：签；抽签
くじく, 挫く[动]：挫伤；挫败
くじける, 挫ける[动]：受挫
くじける, 挫ける[动]：受挫；气馁
くじける[动]：气馁；挫伤
くじびき, 籤引き[名]：抽签
くじゅう, 苦渋[名·动]：苦恼；痛苦
くじょ, 駆除[名·动]：驱除
くじょう, 苦情[名]：抱怨
くじょう, 苦情[名]：抱怨；怨言
くじら, 鯨[名]：鲸
くじをひく, 籤を引く[动]：抽签
くすぐったい[形]：痒；不好意思
くすぐったい[形]：痒；难为情
くすぐる[动]：挠痒；逗笑
くすぶる, 燻る[动]：冒烟；郁闷
くすり, 薬[名]：药
くすり, 薬[名]：药；益处；教训
くすりや, 薬屋[名]：药店
くすりゆび, 薬指[名]：无名指
くず, 屑[名]：碎屑；垃圾
くずす, 崩す[动]：弄塌；打乱
くずす, 崩す[动]：弄塌；换钱
くずれる, 崩れる[动]：崩溃；倒塌
くずれる, 崩れる[动]：崩溃；倒塌；天气变坏
くせ, 癖[名]：毛病
くせ, 癖[名]：毛病；习惯
くたくた[形]：筋疲力尽
くたびれる, 草臥れる[动]：累了；疲乏
くたびれる[动]：疲劳；用旧
くだ, 管[名]：管
くだく, 砕く[动]：弄碎
くだくだしい[形]：啰嗦；冗长
くだける, 砕ける[动]：破碎
くだける, 砕ける[动]：碎；(态度)随和
ください, 下さい[动]：请给我…
くださる, 下さる[动]：给(我)(敬语)
くださる, 下さる[动]：给我(敬语)
くだもの, 果物[名]：水果
くだらない, 詰らない[形]：无聊的；没有价值的
くだらない, 詰らない[形]：无聊；无价值
くだらない，无聊；无用
くだり, 下り[名]：下坡；下行
くだり, 下り[名]：下行；下去
くだり, 下り[名]：下；下坡；下行
くだる, 下る[动]：下(命令)；(时间)推移
くだる, 下る[动]：下；沿…而下；下达
くち, 口[名]：口；嘴
くち, 口[名]：口；嘴；出入口
くち, 口[名]：嘴
くち, 口[名]：嘴；口
くちげんか, 口げんか[名·动]：吵架
くちごもる, 口ごもる[动]：嘟囔；结结巴巴
くちさき, 口先[名]：嘴上；口头
くちずさむ, 口ずさむ[动]：吟诵
くちずさむ, 口ずさむ[动]：哼(歌)
くちずさむ, 口ずさむ[动]：哼唱；吟诵
くちにあう, 口に合う[惯用语]：合口味
くちはてる, 朽ち果てる[动]：腐朽；腐烂
くちばし, 嘴[名]：鸟嘴
くちばし, 嘴[名]：（鸟）嘴
くちばしる, 口走る[动]：说漏嘴
くちびる, 唇[名]：嘴唇
くちぶり, 口ぶり[名]：口吻；口气
くちべに, 口紅[名]：口红
くちもと, 口元[名]：嘴边
くちょう, 口調[名]：语调
くちる, 朽ちる[动]：腐朽
くちる, 朽ちる[动]：腐朽；腐烂
くちコミ, 口コミ[名]：口碑；口头相传
くっきり[副]：清晰；分明
くっきり[副·动]：清晰；鲜明
くっし, 屈指[名·动]：屈指可数
くっする, 屈する[动]：屈服
くっせつ, 屈折[名]：曲折；折射
くっせつ, 屈折[名·动]：曲折；弯曲
くっつく, くっ付く[动]：粘上；紧跟着
くっつく, くっ付く[动]：粘在一起；挨紧；形影不离
くっつく, くっ付く[动]：紧紧附着
くっつく[动]：粘上；紧挨着
くっつける, くっ付ける[动]：使紧紧附着
くっつける, くっ付ける[动]：粘上；使…靠近
くっつける[动]：使…粘上；使…靠近
くつ, 靴[名]：鞋
くつ, 靴[名]：鞋子
くつう, 苦痛[名]：痛苦
くつがえす, 覆す[动]：推翻
くつがえす, 覆す[动]：推翻；打翻
くつした, 靴下[名]：袜子
くつろぐ, 寛ぐ[动]：放松；舒适
くてん, 句点[名]：句号
くとうてん, 句読点[名]：标点符号
くどい[形]：啰嗦；(味道)腻
くどい[形]：啰嗦；油腻
くどくど[副]：絮叨；啰嗦
くなん, 苦難[名]：苦难
くに, 国[名]：国家
くに, 国[名]：国家；家乡
くに, 国[名]：国家；故乡
くにぐに, 国々[名]：各国
くにん, 九人[名]：九个人
くねくね[副·动]：弯弯曲曲
くばる, 配る[动]：分发
くばる, 配る[动]：分配；分发；布置
くび, 頸[名]：脖子
くび, 首[名]：脖子；头
くび, 首[名]：脖子；头部；生命；免职
くびかざり, 首飾り[名]：项链
くびわ, 首輪[名]：项圈
くふう, 工夫[名]：下功夫；办法
くふう, 工夫[名]：想办法；下工夫；办法
くふう, 工夫[名·动]：下功夫；想办法
くぶん, 区分[名·动]：区分；划分
くべつ, 区別[名]：区别；差异；辨别
くべつする, 区別する[动]：区别
くぼむ, 窪む[动]：掉落；坍塌
くま, 熊[名]：熊
くま, 隈[名]：角落；黑眼圈
くみ, 組[名]：班；组；成套；伙伴
くみ, 組[名]：组
くみあい, 組合[名]：工会
くみあわせ, 組み合わせ[名]：组合
くみあわせ, 組合せ[名]：组合
くみあわせる, 組み合わせる[动]：组合
くみかわす, 酌み交わす[动]：交杯；互相敬酒
くみこむ, 組み込む[动]：编入
くみたてる, 組み立てる[动]：组装
くみたてる, 組み立てる[动]：装配；安装；组织
くむ, 汲む[动]：打(水)
くむ, 汲む[动]：打（水）；体谅
くむ, 組む[动]：交叉；合伙；联合；扭打
くむ, 組む[动]：组织；交叉
くむ, 組む[动]：组织；编排
くむ, 酌む[动]：斟
くむ, 酌む[动]：斟（酒）；体谅
くめん, 工面[名·动]：筹措
くも, 雲[名]：云
くも, 雲[名]：云；云彩
くものいと, 蜘蛛の糸[名]：蜘蛛丝
くもり, 曇り[名]：阴天
くもり, 曇り[名]：阴天；模糊；阴沉
くもる, 曇る[动]：天气多云；模糊；发愁
くもる, 曇る[动]：天阴
くもる, 曇る[动]：天阴；模糊不清；闷闷不乐
くやしい, 悔しい[形]：后悔的；窝囊的
くやしい, 悔しい[形]：心里窝囊；窝火
くやしい, 悔しい[形]：懊悔；不甘心
くやしい[形]：懊悔；不甘心
くやしがる, 悔しがる[动]：懊悔
くやむ, 悔やむ[动]：后悔
くやむ, 悔やむ[动]：后悔；悼念
くよう, 供養[名]：供养
くよくよ[副·动]：想不开；耿耿于怀
くら, 蔵[名]：仓库
くらい, 位[名]：地位；大概
くらい, 位[名]：地位；等级
くらい, 暗い[形]：昏暗的
くらい, 暗い[形]：暗的
くらい, 暗い[形]：暗；阴沉
くらいする, 位する[动]：位于
くらし, 暮らし[名]：生活
くらし, 暮らし[名]：生活；生计
くらす, 暮らす[动]：生活
くらす, 暮らす[动]：生活；度日
くらす, 暮らす[动]：生活；过日子
くらべもの, 比べ物[名]：可比较之物
くらべものにならない, 比べ物にならない[惯用语]：无法相比
くらべる, 比べる[动]：比较
くらべる, 比べる[动]：比较；比试；较量
くりかえす, 繰り返す[动]：反复
くりかえす, 繰り返す[动]：重复
くりかえす, 繰り返す[动]：重复；反复
くる, 来る[动]：来
くる, 来る[动]：来；由来；引起
くるう, 狂う[动]：发狂；失常
くるう, 狂う[动]：发疯；(计划)打乱
くるしい, 苦しい[形]：痛苦
くるしい, 苦しい[形]：痛苦的
くるしい, 苦しい[形]：痛苦的；艰苦的
くるしい, 苦しい[形]：痛苦；难受；艰苦
くるしみ, 苦しみ[名]：痛苦；艰辛
くるしむ, 苦しむ[动]：痛苦
くるしむ, 苦しむ[动]：痛苦；苦恼
くるしむ, 苦しむ[动]：痛苦；苦恼；受折磨
くるしめる, 苦しめる[动]：使痛苦；折磨
くるま, 車[名]：车
くるま, 車[名]：车；汽车
くるま, 車[名]：轮子；车；汽车
くるみ, 胡桃[名]：核桃
くるむ, 包む[动]：包；裹
くれ, 暮れ[名]：傍晚；年底
くれぐれも[副]：务必；千万
くれぐれも[副]：反复；仔细
くれます[动]：给（我）
くれる, くれる[动]：给我
くれる, 呉れる[动]：给(我)
くれる, 呉れる[动]：给我
くれる, 暮れる[动]：天黑；(年；季节)终了
くれる, 暮れる[动]：天黑；季节过去
くれる, 暮れる[动]：天黑；日暮
くれる, 暮れる[动]：日暮；天黑；到年底
くれる[动]：（别人）给我
くろ, 黒[名]：黑色
くろ, 黒[名]：黑色；嫌疑犯
くろ, 黒[名]：黑；黑色
くろい, 黒い[形]：黑的
くろい, 黒い[形]：黑色的
くろい, 黒い[形]：黑；黑色的；邪恶
くろう, 苦労[名]：辛苦
くろう, 苦労[名]：辛苦；劳苦；操心
くろう, 苦労[名·动]：辛苦；操劳
くろうと, 玄人[名]：内行
くろうと, 玄人[名]：内行；专家
くろじ, 黒字[名]：盈利
くろじ, 黒字[名]：黑字；盈余
くろだ, 黒田[名]：黑田（人名）
くろっぽい, 黒っぽい[形]：发黑的
くわえる, 加える[动]：加入；增加
くわえる, 加える[动]：加；加上；附加；给与
くわえる, 咥える[动]：叼着
くわしい, 詳しい[形]：详细
くわしい, 詳しい[形]：详细的
くわしい, 詳しい[形]：详细的；细致的
くわしい, 詳しい[形]：详细；精通；熟悉
くわずぎらい, 食わず嫌い[形]：没尝试过就厌烦
くわだてる, 企てる[动]：企图；策划
くわだてる, 企てる[动]：企图；试图
くわわる, 加わる[动]：加上；增长；参加
くわわる, 加わる[动]：加入；参加
くん, 君[接尾]：君；小…(称呼同辈或晚辈)
くん, 訓[名]：训读
くんし, 君子[名]：君子
くんしゅ, 君主[名]：君主
くんじ, 訓示[名·动]：训示
くんれん, 訓練[名]：训练
くんれん, 訓練[名·动]：训练
ぐ, 具[名]：配料；工具
ぐあい, 具合[名]：情况；状态
ぐあい, 具合[名]：情况；状态；方便
ぐあい, 具合[名]：情况；身体状况
ぐいぐい[副]：使劲；大口地
ぐうすう, 偶数[名]：偶数
ぐうすう, 偶数[名]：偶数；双数
ぐうぜん, 偶然[名]：偶然
ぐずぐず[副]：磨磨蹭蹭
ぐずぐず[副·动]：磨蹭；慢吞吞
ぐずつく[动]：磨蹭；天气阴沉
ぐたい, 具体[名]：具体
ぐたいてき, 具体的[形]：具体的
ぐち, 愚痴[名]：牢骚
ぐち, 愚痴[形]：发牢骚
ぐちゃぐちゃ[副·形]：乱七八糟；黏糊糊
ぐっしょり[副]：湿透
ぐっすり[副]：熟睡
ぐっすり[副]：酣睡；熟睡
ぐったり[副·动]：精疲力尽
ぐっと[副]：一下子；更加
ぐっと[副]：一口气；更加
ぐらぐら[副·动]：摇晃
ぐらつく[动]：摇晃；动摇
ぐるぐる[副·动]：团团转
ぐん, 群[名]：群
ぐん, 軍[名]：军
ぐん, 郡[名]：郡
ぐんかん, 軍艦[名]：军舰
ぐんぐん[副]：迅速地；茁壮地
ぐんしゅう, 群衆[名]：群众
ぐんしゅう, 群集[名]：群集
ぐんしゅう, 群集[名·动]：人群；聚集
ぐんじ, 軍事[名]：军事
ぐんじん, 軍人[名]：军人
ぐんたい, 軍隊[名]：军队
ぐんび, 軍備[名]：军备
ぐんぷく, 軍服[名]：军服
け, 毛[名]：毛
け, 毛[名]：毛发；毛线；羽毛
け, 毛[名]：毛；毛发
け, 毛[名]：毛；汗毛；毛发；羽毛
けい, 計[名]：合计
けい, 計[名]：合计；计划
けい, 計[名]：计；总计
けいい, 敬意[名]：敬意
けいい, 経緯[名]：经过
けいえい, 経営[名]：经营
けいえい, 経営[名·动]：经营
けいえいしゃ, 経営者[名]：经营者
けいえん, 敬遠[名·动]：敬而远之
けいか, 経過[名]：流逝；度过；经过
けいか, 経過[名]：经过
けいか, 経過[名·动]：经过
けいかい, 警戒[名]：警戒
けいかい, 警戒[名·动]：警戒
けいかい, 軽快[形]：轻快
けいかい, 軽快[形]：轻快的
けいかく, 計画[名]：计划
けいかく, 計画[名]：计划；规划
けいかく, 計画[名·动]：计划
けいかん, 警官[名]：警官
けいかん, 警官[名]：警察；巡警；警官
けいき, 契機[名]：契机
けいき, 景気[名]：景气
けいき, 景気[名]：景气；市场行情
けいき, 計器[名]：仪表
けいぐ, 敬具[名]：敬上（书信结尾）
けいぐ, 敬具[名]：此致敬礼
けいけん, 経験[名]：经验
けいけん, 経験[名]：经验；经历
けいけん, 経験[名]：经验；经历；体验
けいけん, 経験[名·动]：经验
けいげん, 軽減[名]：减轻
けいげんする, 軽減する[动]：减轻
けいこ, 稽古[名]：练习
けいこ, 稽古[名·动]：练习；排练
けいこう, 傾向[名]：倾向；趋势
けいこうとう, 蛍光灯[名]：荧光灯
けいこく, 警告[名]：警告
けいこく, 警告[名·动]：警告
けいご, 敬語[名]：敬语
けいさい, 掲載[名]：刊登
けいさいする, 掲載する[动]：刊登
けいさつ, 警察[名]：警察
けいさつ, 警察[名]：警察；公安局
けいさつかん, 警察官[名]：警察
けいさつしょ, 警察署[名]：警察局
けいさん, 計算[名]：计算
けいさん, 計算[名·动]：计算
けいさんき, 計算機[名]：计算机
けいさんだかい, 計算高い[形]：精于算计的
けいざい, 経済[名]：经济
けいざいてき, 経済的[形]：经济的
けいざんこうえん, 景山公園[名]：景山公园
けいし, 軽視[名·动]：轻视
けいしき, 形式[名]：形式
けいしゃ, 傾斜[名·动]：倾斜
けいしょう, 継承[名·动]：继承
けいしょう, 軽傷[名]：轻伤
けいじ, 刑事[名]：刑警；刑事
けいじ, 掲示[名]：布告
けいじ, 掲示[名·动]：布告
けいじどうしゃ, 軽自動車[名]：小型汽车
けいじばん, 掲示板[名]：布告板
けいじょう, 形状[名]：形状
けいせい, 形勢[名]：形势
けいせい, 形成[名]：形成
けいせい, 形成[名·动]：形成
けいそつ, 軽率[名·形]：轻率
けいそつ, 軽率[形]：轻率
けいぞく, 継続[名]：继续
けいぞくする, 継続する[动]：继续
けいたい, 形態[名]：形态
けいたい, 携帯[名]：手机；携带
けいたい, 携帯[名·动]：携带
けいたいしょうせつ, 携帯小説[名]：手机小说
けいたいでんわ, 携帯電話[名]：手机
けいと, 毛糸[名]：毛线
けいとう, 系統[名]：系统
けいど, 経度[名]：经度
けいど, 軽度[名]：轻度
けいはつ, 啓発[名·动]：启发
けいば, 競馬[名]：赛马
けいばつ, 刑罰[名]：刑罚
けいひ, 経費[名]：经费
けいひん, 景品[名]：赠品
けいび, 警備[名]：警备
けいび, 警備[名·动]：警备
けいびいん, 警備員[名]：警卫
けいぶ, 警部[名]：警部
けいべつ, 軽蔑[名]：轻蔑
けいべつ, 軽蔑[名·动]：轻蔑
けいほう, 刑法[名]：刑法
けいむしょ, 刑務所[名]：监狱
けいやく, 契約[名]：合同
けいやく, 契約[名]：合同；契约
けいゆ, 経由[名]：经由
けいようし, 形容詞[名]：形容词
けいようどうし, 形容動詞[名]：形容动词
けいり, 経理[名]：经理；会计
けいりょう, 軽量[名]：轻量
けいれき, 経歴[名]：经历
けいれつ, 系列[名]：系列
けいろ, 経路[名]：路径
けいろ, 経路[名]：途径
けが, 怪我[名]：伤
けが, 怪我[名]：伤；受伤
けが, 怪我[名]：受伤
けが, 怪我[名·动]：受伤
けがす, 汚す[动]：弄脏
けがする, 怪我する[动]：受伤
けがにん, けが人[名]：伤员
けがらわしい, 汚らわしい[形]：污秽的
けがらわしい, 汚らわしい[形]：污秽的；肮脏的
けがらわしい, 汚らわしい[形]：肮脏；卑劣
けがれる, 汚れる[动]：变脏；污染
けがわ, 毛皮[名]：毛皮
けさ, 今朝[名]：今天早上
けさ, 今朝[名]：今天早晨
けしからん[形]：不像话的
けしからん，不像话；岂有此理
けしき, 景色[名]：景色
けしき, 景色[名]：景色；景致
けしょう, 化粧[名]：化妆；装饰；装璜
けしょう, 化粧[名·动]：化妆
けしょうひん, 化粧品[名]：化妆品
けしゴム, 消しゴム[名]：橡皮
けす, 消す[动]：关掉；消除
けす, 消す[动]：消掉；关掉
けす, 消す[动]：消除；关掉
けす, 消す[动]：熄灭；扑灭；关掉；抹去
けずる, 削る[动]：削；削减
けた, 桁[名]：位数
けた, 桁[名]：位数；横梁
けた, 桁[名]：横梁；位数
けたたましい[形]：嘈杂的；喧嚣的
けち[名]：吝啬；小气鬼；不吉利；卑劣
けち[名·形]：小气；吝啬
けち[形]：小气
けち[形]：小气的
けっか, 結果[名]：结果
けっか, 結果[名]：结果；结局；结出果实
けっかく, 結核[名]：结核
けっかん, 欠陥[名]：缺陷
けっかん, 血管[名]：血管
けっきょく, 結局[副]：到底；终究
けっきょく, 結局[副]：结果
けっきょく, 結局[副]：结果；最后
けっきん, 欠勤[名]：缺勤
けっこう, 決行[名]：执行
けっこう, 決行[名·动]：断然实行
けっこう, 結構[形]：好的；(表否定)不用
けっこう, 結構[形]：好的；不错的；不要；不用
けっこう, 結構[形]：好的；不错；足够
けっこう, 結構[形]：很好；不用
けっこう, 結構[形·副]：很好；足够；不必
けっこん, 結婚[名]：结婚
けっこん, 結婚[名·动]：结婚
けっこんきねんび, 結婚記念日[名]：结婚纪念日
けっこんしき, 結婚式[名]：婚礼
けっこんしきじょう, 結婚式場[名]：婚礼会场
けっさい, 決済[名·动]：结算
けっさい, 決裁[名·动]：裁决；批准
けっさく, 傑作[名]：杰作
けっさん, 決算[名]：结算
けっさん, 決算[名·动]：结算
けっして, 決して[副]：决不
けっして, 決して[副]：决不；绝对不
けっして, 決して[副]：绝不
けっして, 決して[副]：（后接否定）决不
けっしょう, 決勝[名]：决赛
けっしょう, 結晶[名]：结晶
けっしょう, 結晶[名·动]：结晶；成果
けっしん, 決心[名]：决心
けっしん, 決心[名]：决心；决计
けっしん, 決心[名·动]：决心
けっせい, 結成[名]：组成
けっせい, 結成[名·动]：组成
けっせき, 欠席[名]：缺席
けっせき, 欠席[名·动]：缺席
けっそく, 結束[名]：团结
けっそく, 結束[名·动]：团结；捆扎
けっそん, 欠損[名·动]：缺损；亏损
けっちゃく, 決着[名·动]：了结
けってい, 決定[名]：决定
けってい, 決定[名·动]：决定
けってん, 欠点[名]：缺点
けってん, 欠点[名]：缺点；缺陷
けつあつ, 血圧[名]：血压
けつい, 決意[名]：决心；决计
けつい, 決意[名]：决意
けつい, 決意[名·动]：决意
けつえき, 血液[名]：血液
けつえきがた, 血液型[名]：血型
けつぎ, 決議[名]：决议
けつぎ, 決議[名·动]：决议
けつごう, 結合[名]：结合
けつじょ, 欠如[名·动]：缺少
けつだん, 決断[名]：决断
けつだん, 決断[名·动]：决断
けつぼう, 欠乏[名]：缺乏
けつぼう, 欠乏[名·动]：缺乏
けつりゅう, 血流[名]：血流
けつろん, 結論[名]：结论
けとばす, 蹴飛ばす[动]：踢开
けとばす, 蹴飛ばす[动]：踢开；拒绝
けとばす, 蹴飛ばす[动]：踢；踢飞
けど[接]：可是；不过
けなす, 貶す[动]：贬低
けなす, 貶す[动]：贬低；诽谤
けねん, 懸念[名·动]：担心；挂念
けはい, 気配[名]：迹象
けはい, 気配[名]：迹象；气息
けむい, 煙い[形]：呛人
けむい, 煙い[形]：呛的
けむい, 煙い[形]：烟
けむたい, 煙たい[形]：呛的
けむたい, 煙たい[形]：烟呛人；拘束
けむたい, 煙たい[形]：烟雾弥漫；难相处
けむり, 煙[名]：烟
けむり, 煙[名]：烟；烟雾
けむる, 煙る[动]：冒烟
けむる, 煙る[动]：冒烟；朦胧
けむる, 煙る[动]：冒烟；模糊不清
けもの, 獣[名]：野兽
けらい, 家来[名]：家臣
ける, 蹴る[动]：踢
ける, 蹴る[动]：踢；拒绝
ける, 蹴る[动]：踢；蹬
けれど, けれども[接]：但是
けれども[接]：但是；然而
けわしい, 険しい[形]：险峻
けわしい, 険しい[形]：险峻的
けん, 件[名]：事件；事情
けん, 券[名]：券
けん, 券[名]：券；票
けん, 県[名]：县
けん, 軒[量]：栋；幢；所
けん, 鍵[名]：钥匙；锁
けんい, 権威[名]：权威
けんえき, 権益[名]：权益
けんか, 喧嘩[名]：争吵；打架
けんか, 喧嘩[名]：口角；吵架；打架
けんか, 喧嘩[名·动]：吵架；打架
けんかい, 見解[名]：见解
けんかする, 喧嘩する[动]：吵架；打架
けんがく, 見学[名]：参观学习
けんがく, 見学[名·动]：参观
けんきゅう, 研究[名]：研究
けんきゅう, 研究[名·动]：研究
けんきゅういん, 研究員[名]：研究员
けんきゅうかい, 研究会[名]：研究会
けんきゅうかいはつ, 研究開発[名]：研究开发
けんきゅうしつ, 研究室[名]：研究室
けんきゅうしつ, 研究室[名]：研究室；教研室
けんきゅうしゃ, 研究者[名]：研究者
けんきゅうじょ, 研究所[名]：研究所
けんきょ, 謙虚[形]：谦虚
けんきょ, 謙虚[形]：谦虚的
けんきん, 献金[名·动]：捐款
けんぎょう, 兼業[名·动]：兼职
けんげん, 権限[名]：权限
けんこう, 健康[名]：健康；健全
けんこう, 健康[名·形]：健康
けんこういんりょう, 健康飲料[名]：健康饮料
けんこうしんだん, 健康診断[名]：体检
けんこうほう, 健康法[名]：健身法
けんこうほけんしょう, 健康保険証[名]：健康保险证
けんさ, 検査[名]：检查
けんさ, 検査[名]：检查；检验
けんさ, 検査[名·动]：检查
けんさつかん, 検察官[名]：检察官
けんざい, 健在[名·形]：健在
けんざい, 顕在[名·动]：显在
けんしき, 見識[名]：见识
けんしゅう, 研修[名]：进修
けんしゅう, 研修[名]：进修；培训
けんしゅう, 研修[名·动]：研修
けんしゅうせい, 研修生[名]：研修生
けんしょう, 健勝[名·形]：健康；健壮
けんしょう, 懸賞[名]：悬赏
けんじ, 検事[名]：检察官
けんじつ, 堅実[名·形]：踏实；稳健
けんじょう, 謙譲[名·形]：谦让
けんすう, 件数[名]：件数
けんせつ, 建設[名]：建设
けんせつ, 建設[名]：建设；修筑；修建
けんせつ, 建設[名·动]：建设
けんぜん, 健全[形]：健全的
けんそん, 謙遜[名]：谦逊
けんそん, 謙遜[名]：谦逊；谦虚
けんそん, 謙遜[名·形·动]：谦逊
けんそん, 謙遜[形]：谦逊的
けんぞうぶつ, 建造物[名]：建筑物
けんち, 見地[名]：见地
けんち, 見地[名]：见地；立场
けんちく, 建築[名]：建筑
けんちくか, 建築家[名]：建筑师
けんちょ, 顕著[形]：显著的
けんちょう, 県庁[名]：县政府
けんとう, 健闘[名·动]：奋斗；顽强斗争
けんとう, 検討[名]：研究；讨论
けんとう, 検討[名]：研讨；研究；讨论
けんとう, 検討[名·动]：讨论；研究
けんとう, 見当[名]：估计；方向
けんとう, 見当[名]：估计；方向；目标
けんとう, 見当[名]：方向；大致
けんび, 兼備[名·动]：兼备
けんびきょう, 顕微鏡[名]：显微镜
けんぶつ, 見物[名]：参观
けんぶつ, 見物[名]：看热闹；旁观者；游览
けんぶつ, 見物[名]：观光；游览
けんぶつ, 見物[名·动]：观光
けんぶつにん, 見物人[名]：看热闹的人；观众；游人
けんぶん, 見聞[名·动]：见闻
けんぽう, 憲法[名]：宪法
けんぽう, 拳法[名]：拳法
けんめい, 件名[名]：主题；文件名
けんめい, 懸命[名]：拼命
けんめい, 懸命[形]：拼命
けんめい, 懸命[形]：拼命；努力的
けんめい, 賢明[形]：贤明
けんめい, 賢明[形]：贤明的
けんやく, 倹約[名·动]：节俭
けんり, 権利[名]：权利
けんりょく, 権力[名]：权力
げい, 芸[名]：技艺
げいじゅつ, 芸術[名]：艺术
げいのう, 芸能[名]：演艺
げいのうじん, 芸能人[名]：艺人
げか, 外科[名]：外科
げき, 劇[名]：戏剧；戏
げきか, 激化[名·动]：激化
げきげん, 激減[名·动]：骤减
げきじょう, 劇場[名]：剧场
げきぞう, 激増[名]：激增
げきぞう, 激増[名·动]：激增
げきだん, 劇団[名]：剧团
げきてき, 劇的[形]：戏剧性的
げきやす, 激安[名]：超便宜
げきれい, 激励[名]：激励
げきれい, 激励[名·动]：激励
げこう, 下校[名·动]：放学
げざ, 下座[名]：下座；末座
げしゃ, 下車[名]：下车
げしゃ, 下車[名·动]：下车
げしゅく, 下宿[名]：寄宿
げしゅく, 下宿[名·动]：寄宿
げじゅん, 下旬[名]：下旬
げすい, 下水[名]：下水道
げた, 下駄[名]：木屐
げっきゅう, 月給[名]：月薪
げっしゃ, 月謝[名]：学费
げっそり[副]：(突然)消瘦
げっそり[副·动]：急剧消瘦；灰心
げっぷ, 月賦[名]：分期付款
げっぷ[名·动]：打嗝
げっぺい, 月餅[名]：月饼
げつまつ, 月末[名]：月末
げつようび, 月曜日[名]：星期一
げつようび, 月曜日[名]：星期一；周一
げひん, 下品[形]：下流；粗俗
げひん, 下品[形]：低级趣味的
げらく, 下落[名·动]：下跌；下降
げり, 下痢[名]：拉肚子
げり, 下痢[名·动]：腹泻
げん, 元[名]：元（朝代）
げんいん, 原因[名]：原因
げんえき, 現役[名]：现役
げんかい, 限界[名]：界限
げんかい, 限界[名]：界限；范围；限度
げんかく, 厳格[形]：严格的
げんかん, 玄関[名]：正门入口处；门户
げんかん, 玄関[名]：玄关
げんかん, 玄関[名]：玄关；门口
げんがく, 減額[名·动]：减额
げんき, 元気[名]：元气；精神；健康
げんき, 元気[名]：精神；健康
げんき, 元気[形]：健康；有精神
げんき, 元気[形]：精神；健康
げんきづける, 元気づける[动]：鼓励；使振作
げんきゅう, 減給[名·动]：减薪
げんきゅう, 言及[名·动]：提及
げんきん, 現金[名]：现金
げんきん, 現金[名]：现金；势力眼
げんけい, 原型[名]：原型
げんけい, 原形[名]：原形
げんこう, 原稿[名]：原稿
げんこう, 原稿[名]：原稿；草稿；稿子
げんこう, 原稿[名]：稿子
げんこう, 現行[名]：现行
げんこうようし, 原稿用紙[名]：稿纸
げんご, 言語[名]：语言
げんご, 言語[名]：语言；言语
げんさく, 原作[名]：原作
げんさん, 原産[名]：原产
げんざい, 現在[名]：现在
げんざい, 現在[名]：现在；目前；现实
げんざいりょう, 原材料[名]：原材料
げんし, 原始[名]：原始
げんし, 原子[名]：原子
げんしょ, 原書[名]：原版书
げんしょう, 減少[名]：减少
げんしょう, 現象[名]：现象
げんしょうする, 減少する[动]：减少
げんじつ, 現実[名]：现实
げんじつ, 現実[名]：现实；实际
げんじゅう, 厳重[形]：严格；严厉；森严
げんじゅう, 厳重[形]：严重的
げんじゅう, 厳重[形]：森严；严格
げんじゅう, 現住[名]：现住
げんじょう, 現状[名]：现状
げんそう, 幻想[名·动]：幻想
げんそく, 原則[名]：原则
げんぞう, 現像[名]：显影
げんたい, 減退[名·动]：减退
げんだい, 現代[名]：现代
げんだい, 現代[名]：现代；当代
げんだいじん, 現代人[名]：现代人
げんだいびじゅつ, 現代美術[名]：现代美术
げんち, 現地[名]：当地
げんち, 現地[名]：当地；现场
げんてい, 限定[名]：限定
げんてい, 限定[名·动]：限定
げんてん, 原典[名]：原典
げんてん, 原点[名]：原点
げんてん, 原点[名]：原点；出发点
げんてん, 減点[名·动]：减分
げんど, 限度[名]：限度
げんどう, 言動[名]：言行
げんどうりょく, 原動力[名]：原动力
げんに, 現に[副]：实际上
げんば, 現場[名]：现场
げんば, 現場[名]：现场；工地
げんばく, 原爆[名]：原子弹
げんぶん, 原文[名]：原文
げんみつ, 厳密[形]：严密
げんみつ, 厳密[形]：严谨的
げんゆ, 原油[名]：原油
げんり, 原理[名]：原理
げんりょう, 原料[名]：原料
げんりょう, 減量[名·动]：减量
げんろん, 言論[名]：言论
こ, 個[名]：个
こ, 個[量]：个
こ, 子[名]：子女；孩子；动物的仔
こ, 子[名]：孩子
こい, 恋[名]：恋爱
こい, 濃い[形]：浓
こい, 濃い[形]：浓的
こい, 濃い[形]：浓的；深的
こいしい, 恋しい[形]：思念
こいしい, 恋しい[形]：爱慕的；怀念的
こいしい, 恋しい[形]：爱慕的；眷恋的
こいする, 恋する[动]：恋爱
こいぬ, 子犬[名]：小狗
こいびと, 恋人[名]：恋人
こいびと, 恋人[名]：恋人；对象；情人
こう, 甲[名]：甲
こう, 甲[名]：甲；第一
こう, 高[名]：高（姓）
こう, 黄[名]：黄（姓）
こう[代]：这样
こう[副]：这样
こう[副]：这样；这么；如此
こうあんする, 考案する[动]：设计；构思
こうい, 好意[名]：好意
こうい, 行為[名]：行为
こういう[连]：这种；这样的
こういう[连体]：这种；这样
こういち, 光一[名]：光一（人名）
こういん, 光陰[名]：光阴
こういん, 工員[名]：工人
こううん, 幸運[名]：幸运
