umbrella	 n.: 雨伞
content，adj.	满足的；满意的
content，n.	内容；目录；含量
content，v.	使满足
contented，adj.	心满意足的
contention，n.	争论；论点
contentious，adj.	有争议的；好争论的
contents，n.	内容；目录；所含之物
contest，n.	比赛；竞赛；争夺
contest，v.	竞争；争辩；质疑
contestant，n.	参赛者；竞争者
context，n.	上下文；背景；环境
context manager，idiom/phrase: 上下文管理器	
context variable，idiom/phrase: 上下文变量	
contiguous，adj.	相邻的；相接的
continent，n.	大陆；洲
continent，adj.	有自制力的；克制的
continental，adj.	大陆的；欧洲大陆的
continental，n.	欧洲大陆人
contingency，n.	意外事件；偶然性
contingent，adj.	依情况而定的
contingent，n.	代表团；分遣队
continual，adj.	频繁的；不断的
continually，adv.	不断地；频繁地
continuation，n.	继续；延续；续篇
continue，v.	继续；持续
continuity，n.	连续性；连贯性
continuous，adj.	连续的；持续的
continuously，adv.	连续不断地
continuum，n.	连续统一体
contract，n.	合同；契约
contract，v.	签合同；（使）收缩；感染
contraction，n.	收缩；缩写
contractor，n.	承包商；订约人
contradict，v.	反驳；与…矛盾
contradiction，n.	矛盾；反驳
contradictory，adj.	矛盾的；对立的
contrary，adj.	相反的
contrary，n.	相反情况
contrast，n.	对比；差别
contrast，v.	（使）对比；（使）对照
contrasting，adj.	截然不同的
contrasting view，idiom/phrase: 对比观点	
contravene，v.	违反；触犯
contravene a law，idiom/phrase: 违法	
contribute，v.	贡献；捐助；投稿
contributing，adj.	起作用的；贡献的
contribution，n.	贡献；捐款
contributor，n.	贡献者；捐助者；撰稿人
contrivance，n.	精巧的装置；计谋
contrive，v.	设计；设法做到
contrived，adj.	不自然的；人为的
control，n.	控制；管理；对照
control，v.	控制；管理
control group，n.	对照组
control population，n.	对照人群
control tower，n.	（机场）控制塔
controlled，adj.	受控制的；克制的
controller，n.	控制器；管理者
controversial，adj.	有争议的
controversy，n.	争议；争论
convection，n.	对流
convenience，n.	方便；便利设施
convenient，adj.	方便的；便利的
convenor，n.	会议召集人
convention，n.	大会；惯例；习俗
conventional，adj.	传统的；常规的
converge，v.	汇合；聚集
conversation，n.	对话；交谈
converse，adj.	相反的
converse，n.	相反的事物
converse，v.	交谈
conversely，adv.	相反地
conversion，n.	转换；转变；皈依
convert，n.	皈依者
convert，v.	（使）转变；（使）转换
convertible，adj.	可转换的
convertible，n.	敞篷车
convey，v.	传达；运输
conveyance，n.	运输；运输工具
conveyor，n.	传送带；运输者
convict，n.	已决犯；囚犯
convict，v.	宣判…有罪
conviction，n.	定罪；坚定的信念
convince，v.	使确信；说服
convinced，adj.	确信的
convincing，adj.	令人信服的
convoy，n.	护送；护航队
convoy，v.	护送；护航
convulse，v.	使震动；使抽搐
convulsive，adj.	抽搐的；惊厥的
cook，v.	烹饪；做饭
cooker，n.	炊具
cookery，n.	烹饪术
cookery book，n.	烹饪书；食谱
cooking，adj.	烹饪用的
cooking，n.	烹饪；做饭
cooking class，n.	烹饪课
cooking oil u，n.	食用油
cooking school，n.	烹饪学校
cool，adj.	凉爽的；冷静的；酷的
cool，n.	凉爽；冷静
cool，v.	（使）变凉；（使）冷静
coolant-lined，adj.	带冷却衬里的
cooling down，idiom/phrase: 冷却；冷静下来	
cooling operation mode，n.	制冷运行模式
cooperate，v.	合作；配合
cooperate with each other，idiom/phrase: 互相合作	
cooperation，n.	合作；协作
cooperation loan，n.	合作贷款
cooperative，adj.	合作的；配合的
cooperative，n.	合作社
coordinate，adj.	同等的；并列的
coordinate，n.	坐标；同等的人或物
coordinate，v.	协调；使相配合
coordination，n.	协调；配合
coordinator，n.	协调人
cop，n.	警察
cop，v.	抓住；应付
cope，n.	（教士的）斗篷式长袍
cope，v.	应付；处理
cope with，idiom/phrase: 应付；处理	
copies，n.	副本（复数）；复印件（复数）
copper，adj.	铜制的
copper，n.	铜；铜币
copper，v.	镀铜
copper sulphate，n.	硫酸铜
corner，n.	角落；街角；困境
corner，v.	把…逼入绝境；垄断
corner ball，idiom/phrase: 角球	
corner flag，n.	角旗
corner kick area，idiom/phrase: 角球区	
cornerstone，n.	基石；基础
coroutine，n.	协程
coroutine function，idiom/phrase: 协程函数	
corporal，adj.	肉体的；身体的
corporal，n.	（陆军）下士
corporal punishment，n.	体罚
corporate，adj.	公司的；法人的；共同的
corporate restructuring，idiom/phrase: 企业重组	
corporation，n.	公司；法人团体
corporeal，adj.	物质的；肉体的
corps，n.	军团；兵团；（特定工作）队
corpse，n.	尸体
corpus，n.	语料库；文集
correct，adj.	正确的；恰当的
correction，n.	改正；纠正
correction fluid，n.	涂改液
correction pen，n.	修正笔
corrective，adj.	纠正的；矫正的
corrective，n.	矫正方法
correctly，adv.	正确地；恰当地
correlate，n.	相关物
correlate，v.	（使）相互关联
correlation，n.	相关；关联
correspond，v.	相符；相当；通信
correspondence，n.	通信；信件；一致
correspondence school，n.	函授学校
correspondent，n.	记者；通信者
corresponding，adj.	相应的；符合的
correspondingly，adv.	相应地
corridor，n.	走廊；过道
corroborate，v.	证实；确证
corrode，v.	（使）腐蚀；侵蚀
corrosion，n.	腐蚀；侵蚀
corrupt，adj.	腐败的；堕落的
corrupt，v.	使腐败；使堕落
corruption，n.	腐败；贪污；堕落
cortex，n.	（大脑）皮层；（植物）皮层
cortical，adj.	皮层的；皮质的
cortisol，n.	皮质醇
coruscating，v.	闪烁；闪光
cosmetic，adj.	美容的；化妆的
cosmetic，n.	化妆品
cosmetics，n.	化妆品
cosmic，adj.	宇宙的
cosmopolitan，adj.	世界性的；见多识广的
cosmopolitan，n.	世界主义者；四海为家者
cosmos，n.	宇宙
cosset，v.	溺爱；宠爱
cost，n.	成本；费用；代价
cost，v.	花费；使付出代价
cost-effective，adj.	性价比高的；划算的
costly，adj.	昂贵的；代价大的
costume，n.	服装；戏装
costume，v.	为…设计服装
costume ball，idiom/phrase: 化装舞会	
cosy，adj.	舒适的；惬意的
cosy，n.	（茶壶等的）保温罩
cot，n.	简易床；婴儿床
cottage，n.	村舍；小屋
cotton，n.	棉花；棉布
cotton，v.	明白；喜欢上
cotton fabrics，idiom/phrase: 棉织物	
cotton textiles，idiom/phrase: 棉纺织品	
cotton wool，n.	脱脂棉；药棉
cough up，idiom/phrase: 咳出；（不情愿地）拿出	
could，aux.v.	能够；可以；可能
council，n.	委员会；理事会；议会
councillor，n.	议员
counsel，n.	建议；忠告；法律顾问
counsel，v.	建议；劝告
counseling，n.	咨询；辅导
counseling centre，idiom/phrase: 咨询中心	
counselling service，idiom/phrase: 咨询服务	
counsellor，n.	顾问；辅导员
counselor，n.	顾问；辅导员
count，n.	计数；总数；伯爵
count，v.	数数；计算；认为；重要
counter，adj.	相反的
counter，adv.	相反地
counter，n.	柜台；计数器
counter，v.	反驳；反击
counter-productive，adj.	产生反效果的；事与愿违的
counteract，v.	抵消；对抗
counterbalance，n.	平衡力；平衡物
counterbalance，v.	使平衡；抵消
counterfeit，adj.	伪造的；假冒的
counterfeit，n.	伪造品；冒牌货
counterfeit，v.	伪造；假冒
counterfeit goods，idiom/phrase: 假货	
counterpart，n.	对应的人（或物）
counterproductive，adj.	产生反效果的；事与愿违的
counting house，n.	（旧时的）账房
countless，adj.	无数的
country，adj.	乡村的；国家的
country music，n.	乡村音乐
country's economy，idiom/phrase: 国家经济	
countryside，n.	乡下；郊外
countryside living，idiom/phrase: 乡村生活	
county，n.	县；郡
county library，idiom/phrase: 县图书馆	
couple，v.	连接；结合
coupon，n.	优惠券；礼券
courage，n.	勇气；胆量
courageous，adj.	勇敢的；有胆量的
courier，n.	快递员；信使
course，n.	课程；过程；一道菜；路线
course，v.	（液体）流；（快速）跑
course code，idiom/phrase: 课程代码	
course delivery，idiom/phrase: 课程讲授	
course outline，idiom/phrase: 课程大纲	
course requirement，idiom/phrase: 课程要求	
coursework，n.	课程作业；平时作业
court，n.	法庭；球场；宫廷；院子
court，v.	追求；求爱；招致
courteous，adj.	有礼貌的；谦恭的
courtesy，adj.	礼节性的；免费提供的
courtesy，n.	礼貌；谦恭
courtship，n.	求爱；求偶期
courtyard，n.	庭院；院子
cousin，n.	堂（或表）兄弟姐妹
cove，n.	小海湾
cover，n.	盖子；封面；掩护；保险
cover，v.	覆盖；包括；报道；行走（一段路程）
cover girl，n.	封面女郎
cover story，n.	封面故事；幌子
coverage，n.	新闻报道；覆盖范围
cow，n.	母牛；奶牛
cow，v.	恐吓；吓唬
coward，adj.	胆小的
coward，n.	懦夫；胆小鬼
cowardly，adj.	怯懦的；胆小的
cowpat，n.	一滩牛粪
coyote，n.	（北美）丛林狼
cozy and romantic，idiom/phrase: 舒适浪漫	
cozy atmosphere，idiom/phrase: 温馨的氛围	
crab，n.	螃蟹；爱抱怨的人
crab，v.	抱怨；横行
crack，adj.	一流的；顶尖的
crack，n.	裂缝；爆裂声；尝试
crack，v.	（使）破裂；破解；发出爆裂声
cracker，n.	薄脆饼干；鞭炮
cradle，n.	摇篮；发源地
cradle，v.	轻轻抱着
craft，n.	工艺；手艺；船；飞机
craft，v.	精心制作
craftsman，n.	工匠；手艺人
cram，v.	塞满；（为考试）死记硬背
cramming，n.	（考前）突击学习
cramped，adj.	狭窄的；（字迹）挤在一起的
crane，n.	鹤；起重机
crane，v.	伸长（脖子）看
crank，n.	曲柄；怪人
crank，v.	用曲柄转动
crash，n.	碰撞；坠毁；崩溃；巨响
crash，v.	碰撞；坠毁；崩溃；发出巨响
crater，n.	火山口；弹坑
crater，v.	形成坑；暴跌
crawl，n.	爬行；缓慢的行进
crawl，v.	爬行；缓慢行进
craze，n.	狂热；风尚
craze，v.	使发狂
cream，n.	奶油；乳霜；精华
create，v.	创造；创建；引起
creation，n.	创造；作品
creativity，n.	创造力；创意
creativity and imagination，idiom/phrase: 创造力和想象力	
credential，n.	资历；资格证书
credentials，n.	资历；资格证书（常用复数）
credibility，n.	可信性；信誉
credible，adj.	可信的；可靠的
credit，n.	信用；学分；赞扬；信贷
credit，v.	相信；把…归功于
credit card，n.	信用卡
credit course，n.	学分课程
credit rating，n.	信用评级
creditor，n.	债权人
credulous，adj.	轻信的；易受骗的
creek，n.	小溪
creep，n.	爬行；讨厌鬼
creep，v.	爬行；悄悄地移动；蔓延
creep up on sb.，idiom/phrase: 悄悄走近某人	
crescent，adj.	新月形的
crescent，n.	新月；新月形物
crest，n.	顶峰；山顶；（鸟）冠
crest，v.	到达…的顶峰
crevasse，n.	（冰川上的）裂缝
crew，n.	全体船员；全体机组人员；工作组
crewman，n.	（男）船员；（男）机组成员
cricket，n.	板球；蟋蟀
crime，n.	罪行；犯罪
crime rate，n.	犯罪率
criminal，adj.	犯罪的；刑事的
criminal，n.	罪犯
cripple，n.	跛子；残疾人
cripple，v.	使残废；严重削弱
crisis，n.	危机；危急关头
crisp，adj.	脆的；酥的；清新的
crisp，n.	炸薯片
criteria，n.	标准；准则（criterion的复数）
criterion，n.	标准；准则
critic，n.	批评家；评论家
critical，adj.	批评的；关键的；危急的
critically，adv.	批判性地；严重地
criticise，v.	批评；指责
criticism，n.	批评；评论
criticize，v.	批评；指责
crochet work，n.	钩针织品
crockery，n.	陶器；瓦器
crocodile，n.	鳄鱼
crocodile cruise，n.	鳄鱼巡游
crocodiles，n.	鳄鱼（复数）
crop，n.	农作物；收成；庄稼
crop，v.	种植；收割；修剪
cropland，n.	农田
crops，n.	农作物（复数）
croquet，n.	槌球戏
cross，adj.	生气的；交叉的
cross，n.	十字架；交叉；混合物
cross，v.	穿过；越过；交叉；反对
cross passage，n.	横向通道
cross-cultural，adj.	跨文化的
cross-town bus，n.	跨城公交车
crossbow，n.	弩；十字弓
crosscourt，adj.	斜线的
crossing，n.	十字路口；人行横道；横渡
crossword，n.	纵横填字游戏
crow，n.	乌鸦
crow，v.	（公鸡）啼叫；得意地叫
crowd，n.	人群；观众；一伙人
crowd，v.	挤满；聚集
crowded，adj.	拥挤的
crowned，v.	加冕（crown的过去式和过去分词）
crown，n.	王冠；顶点
crown，v.	为…加冕；使圆满
crucial，adj.	至关重要的；关键的
cruciform，adj.	十字形的
crud，n.	污垢；废物
crude，adj.	粗糙的；天然的；粗鲁的
crude，n.	原油
cruel，adj.	残酷的；残忍的
cruelty，n.	残酷；残忍
cruise，n.	乘船游览；巡航
cruise，v.	乘船游览；巡航
cruiser，n.	巡洋舰；巡航艇
crusade，n.	改革运动；十字军东征
crusade，v.	投身于（改革运动）
crush，n.	压碎；拥挤的人群；迷恋
crush，v.	压碎；镇压；迷恋
crushing，adj.	压倒性的；毁灭性的
crust，n.	（面包）皮；硬外壳
crust，v.	（使）结硬皮
cry，n.	哭；叫喊；呼吁
cry，v.	哭；喊叫
crying，adj.	哭泣的；迫切的
crystal，adj.	水晶的；清澈的
crystal，n.	水晶；晶体
crystalline，adj.	水晶般的；透明的
crystallize，v.	（使）结晶；（使）明确
ctrl，abbr.	控制键
cub，n.	（熊、狮等的）幼崽；新手
cube，n.	立方体；立方
cube，v.	将…切成小方块；求…的立方
cube sugar，n.	方糖
cubic，adj.	立方的
cubic meter，n.	立方米
cucumber，n.	黄瓜
cue，n.	提示；暗示；（台球）球杆
cue，v.	给…提示
cuisine，n.	烹饪；菜肴
culminate，v.	达到顶点；告终
culmination，n.	顶点；高潮
culpable，adj.	该受责备的；有罪的
culprit，n.	罪犯；肇事者
cultivate，v.	耕作；培养；建立
cultivated，adj.	有教养的；耕种的
cultivation，n.	耕作；培养；教养
cultural，adj.	文化的
cultural differences，idiom/phrase: 文化差异	
cultural shock，idiom/phrase: 文化冲击	
cultural sites，idiom/phrase: 文化遗址	
culture，n.	文化；修养；养殖
culture，v.	培养（细胞等）
culture awareness，idiom/phrase: 文化意识	
culture context，idiom/phrase: 文化背景	
cultures and customs，idiom/phrase: 文化和习俗	
cumulative，adj.	累积的；渐增的
cunning，adj.	狡猾的；巧妙的
cunning，n.	狡猾；诡计
cup，n.	杯子；奖杯
cup，v.	把（手）做成杯状
cupboard，n.	橱柜；碗柜
curable，adj.	可治愈的
curative，adj.	有疗效的
curative，n.	药物；疗法
curator，n.	（博物馆、美术馆等的）馆长
curb，n.	抑制；路边镶边石
curb，v.	控制；抑制
cure，n.	治疗；疗法；对策
cure，v.	治愈；解决
curiosity，n.	好奇心；奇物
curious，adj.	好奇的；古怪的
curiously，adv.	好奇地；奇怪地
curl，n.	卷发；卷曲物
curl，v.	（使）卷曲
curly，adj.	卷曲的
currency，n.	货币；通货；流行
currency exchange，n.	货币兑换
current，adj.	当前的；通用的；流行的
current，n.	水流；气流；电流；趋势
current affairs，n.	时事
currently，adv.	当前；目前
curriculum，n.	课程
curry，n.	咖喱
curry，v.	用咖喱烹调；梳刷（马）
curse，n.	诅咒；咒骂；祸害
curse，v.	诅咒；咒骂
cursed，adj.	被诅咒的；可恶的
cursor，n.	光标
curtail，v.	缩减；削减
curtain，n.	窗帘；幕
curtain，v.	用帘子遮蔽
curtain call，n.	谢幕
curtains，n.	窗帘（复数）
curve，adj.	弯曲的
curve，n.	曲线；弯曲
curve，v.	（使）弯曲
curved，adj.	弯曲的
curvy，adj.	有曲线美的；弯曲的
cushion，n.	垫子；靠垫
cushion，v.	缓冲；减轻冲击
cushion of air，n.	气垫
custom，adj.	定制的
custom，n.	习惯；风俗；海关
customer，n.	顾客；客户
customers，n.	顾客（复数）
customers' complaints，n.	顾客投诉
customize，v.	定制；定做
customs，n.	海关；关税
customs duties，n.	关税
cut，adj.	切开的；削减的
cut，n.	切口；伤口；削减；份额
cut，v.	切；割；剪；削减；删节
cut back，idiom/phrase: 削减；缩减	
cut down on，idiom/phrase: 减少	
cut off，idiom/phrase: 切断；中断	
cut out，idiom/phrase: 删掉；停止	
cut out noise，idiom/phrase: 消除噪音	
cute，adj.	可爱的；漂亮的
cute and fashionable，idiom/phrase: 可爱又时尚	
cutlery，n.	（刀、叉、匙等）餐具
cutting bit，n.	刀头；钻头
cutting edge，adj.	尖端的；前沿的
cutting edge，n.	尖端；前沿；刀刃
cyan，n.	青色；蓝绿色
cybernetics，n.	控制论
cycle，n.	自行车；周期；循环
cycle，v.	骑自行车；循环
cycling，n.	骑自行车运动
cyclist，n.	骑自行车的人
cylinder，n.	圆柱体；汽缸
cylindrical，adj.	圆柱形的
cynic，n.	愤世嫉俗者
cynical，adj.	愤世嫉俗的；怀疑的
cystic，adj.	囊的；膀胱的
dagger，n.	匕首
daily，n.	日报；日工
daily necessities，n.	日用品
daily routine，n.	日常惯例
dairy，adj.	乳制品的
dairy，n.	乳品店；乳制品
dairy farm，n.	奶牛场
daisy，n.	雏菊
dale，n.	山谷
dam，n.	水坝；水堤
dam，v.	筑坝拦截；控制
damage，n.	损害；损失
damage，v.	损害；毁坏
damp，adj.	潮湿的
damp，n.	潮湿；湿气
damp，v.	使潮湿；抑制
dampen，v.	使潮湿；使（情绪）低落
dance，v.	跳舞；舞动
dance class，n.	舞蹈课
dance coupon，n.	舞会券
dance floor，n.	舞池
dance hall，n.	舞厅
dance in Tang Dynasty，n.	唐代舞蹈
dance of Xinjiang，n.	新疆舞
dance show，n.	舞蹈表演
dance studio，n.	舞蹈工作室
dancing club，n.	舞蹈俱乐部
dancing partner，n.	舞伴
dandelion，n.	蒲公英
dangerous adventure activities，n.	危险的探险活动
dangerous creature，n.	危险生物
dangerous play，n.	危险动作
dangle，v.	（使）悬垂；（使）摇晃
dare，v.	敢；敢于
daredevil，adj.	蛮勇的；不怕死的
daredevil，n.	蛮勇的人；冒失鬼
daring，adj.	大胆的；勇敢的
daring，n.	胆量；勇气
dark，n.	黑暗；暗处
dark blue，n.	深蓝色
dark coloured，adj.	深色的
darkness，n.	黑暗
darkroom，n.	暗室
darling，n.	亲爱的人；宝贝
dash，n.	猛冲；破折号；少量
dash，v.	猛冲；猛撞；使破灭
dashboard，n.	（汽车）仪表盘
data，n.	数据；资料
data analysis，n.	数据分析
data encapsulation，idiom/phrase: 数据封装	
data structure，idiom/phrase: 数据结构	
data type，idiom/phrase: 数据类型	
database，n.	数据库
dataset，n.	数据集
date，v.	注明日期；追溯到；和…约会
date back to，idiom/phrase: 追溯到	
date from ...，v.	始于…
daughter，adj.	女儿的
daunt，v.	使畏缩；使气馁
daunted，v.	使畏缩（daunt的过去式和过去分词）
dawdle，v.	磨蹭；游手好闲
dawn，n.	黎明；开端
dawn，v.	破晓；开始出现；被理解
day，n.	一天；白天；时代
day of arrival，n.	到达日
day off，n.	休息日
day pupil，n.	走读生
day show，n.	白天演出
daylight，n.	日光；白昼
daytime，n.	白天；日间
dazzle，n.	耀眼的光
dazzle，v.	使目眩；使倾倒
dazzling，adj.	耀眼的；令人眼花缭乱的
deactivate，v.	使无效；解除动员
dead，adj.	死的；无效的；完全的
dead，adv.	完全地；绝对
dead code，idiom/phrase: 无用代码	
deadhead cab，n.	空驶的出租车
deadline，n.	截止日期；最后期限
deadly，adj.	致命的；极度的
deadly，adv.	极度地
deal，n.	交易；协议；数量
deal，v.	处理；应付；交易
deal with，idiom/phrase: 处理；应付	
dealer，n.	经销商；商人
dealing box，n.	发牌盒
dean，n.	（大学的）院长；系主任
dean of studies，n.	教务长
dear，adj.	亲爱的；昂贵的
dearly，adv.	深深地；昂贵地
dearth，n.	缺乏；不足
death，n.	死亡；毁灭
death duty，idiom/phrase: 遗产税	
death tax，n.	遗产税
debatable，adj.	有争议的；可争论的
debate，n.	辩论；讨论
debate，v.	辩论；讨论
debit，n.	借方；欠款
debit，v.	把…记入借方
debris，n.	碎片；残骸
debt，n.	债务；欠款
debtor，n.	债务人
debug，v.	调试；除错
debugger，n.	调试器
debugging，n.	调试
debut，n.	首次亮相；初次登台
debut，v.	首次亮相
decade，n.	十年
decapitate，v.	斩首
decathlete，n.	十项全能运动员
decathlon，n.	十项全能运动
decay，n.	腐烂；衰退
decay，v.	（使）腐烂；（使）衰退
deceit，n.	欺骗；谎言
deceive，v.	欺骗
decelerate，v.	（使）减速
decency，n.	得体；正派；礼貌
decent，adj.	得体的；像样的；不错的
deception，n.	欺骗；骗局
deceptive ease，idiom/phrase: 看似容易	
decibel，n.	分贝
decide，v.	决定；下决心
decimal，adj.	十进位的；小数的
decimal，n.	小数
decimation，n.	大量毁灭；大批杀戮
decipher，v.	破译；辨认
decision，n.	决定；决议
decisive，adj.	决定性的；果断的
deck，n.	甲板；（公共汽车）层面
deck，v.	装饰；打扮
declaim，v.	慷慨陈词；朗诵
declaration，n.	宣布；公告；申报
declare，v.	宣布；声明；申报
declared，adj.	公开宣布的
decline，n.	下降；衰退
decline，v.	下降；衰退；谢绝
decode，v.	解码；破译
decompose，v.	（使）分解；（使）腐烂
decomposition，n.	分解；腐烂
decompression，n.	减压；解压
decorate，v.	装饰；布置
decorate home，idiom/phrase: 装饰家里	
decorate rooms with painting，idiom/phrase: 用画装饰房间	
decoration，n.	装饰；装饰品
decorations，n.	装饰品（复数）
decorative，adj.	装饰性的
decorator，n.	室内装潢师
decouple，v.	使分离；使脱钩
decoy，n.	诱饵；圈套
decoy，v.	引诱
decrease，n.	减少；减少量
decrease，v.	（使）减少；（使）降低
decrement，n.	减少；减量
decrepit，adj.	破旧的；衰老的
dedicate，v.	致力于；奉献；题献
dedicated，adj.	专注的；专用的
dedication，n.	奉献；献身；题词
deduce，v.	推断；演绎
deduction，n.	推论；扣除
deductive，adj.	推理的；演绎的
deed，n.	行为；事迹；契约
deed，v.	立契转让
deem，v.	认为；视为
deep，adj.	深的；深奥的；（颜色）深的
deep ball，n.	长传球
deep copy，idiom/phrase: 深拷贝	
deep impression，n.	深刻印象
deep-seated，adj.	根深蒂固的
deeply，adv.	深深地；非常
deer，n.	鹿
deface，v.	污损…的外观
default，n.	违约；默认值
default，v.	违约；默认
defeat，n.	失败；战胜
defeat，v.	击败；战胜
defect，n.	缺点；缺陷
defect，v.	叛逃；变节
defective，adj.	有缺陷的
defective，n.	有缺陷的人
defence，n.	防御；辩护
defend，v.	保卫；防御；为…辩护
defendant，n.	被告
defender，n.	防卫者；辩护人；卫冕者
defense，n.	防御；辩护
defensible，adj.	可防御的；可辩解的
defensive，adj.	防御性的；自卫的
defensive，n.	防御；守势
defer，v.	推迟；遵从
deficiency，n.	缺乏；不足；缺陷
deficient，adj.	缺乏的；不足的
deficit，n.	赤字；亏损
definable，adj.	可下定义的；可确定的
define，v.	给…下定义；阐明；规定
definite，adj.	明确的；肯定的
definitely，adv.	肯定地；当然
definition，n.	定义；清晰度
definitive，adj.	最终的；权威的
deflation，n.	通货紧缩；泄气
deflect，v.	（使）偏斜；（使）转向
deforest，v.	砍伐森林
deforestation，n.	采伐森林
deformity，n.	畸形
defraud，v.	欺诈；诈骗
defy，v.	违抗；蔑视；挑衅
degenerate，adj.	退化的；堕落的
degenerate，n.	堕落的人
degenerate，v.	退化；堕落
degradation，n.	退化；堕落；降解
degrade，v.	贬低；使降级；（使）降解
degrading，adj.	有辱人格的
degree，n.	程度；度数；学位
delay，n.	延迟；耽搁
delay，v.	（使）延迟；（使）耽搁
delectable，adj.	美味的；令人愉快的
delegate，n.	代表
delegate，v.	委派；授权
delegation，n.	代表团；授权
deletable，adj.	可删除的
delete，v.	删除
deletion，n.	删除
deliberate，adj.	故意的；从容的；深思熟虑的
deliberate，v.	仔细考虑；商议
deliberately，adv.	故意地；从容地
deliberation，n.	审议；深思熟虑
delicacy，n.	美食；佳肴；精致
delicate，adj.	精致的；脆弱的；微妙的
delicate quality leather，idiom/phrase: 优质软皮革	
delicious，adj.	美味的；可口的
delicious food，idiom/phrase: 美食	
delicious meals，idiom/phrase: 美味的饭菜	
delight，n.	高兴；乐趣
delight，v.	使高兴；使欣喜
delighted，adj.	高兴的；愉快的
delightful，adj.	令人愉快的；宜人的
delimit，v.	划定界限
delimiter，n.	分隔符
delineate，v.	描绘；勾画
delinquency，n.	（尤指青少年的）违法行为；失职
delinquent，adj.	违法的；有过失的
delinquent，n.	少年犯；违法者
deliver，v.	递送；发表（讲话）；接生
delivery，n.	递送；分娩；讲话方式
delta，n.	（河流的）三角洲
delude，v.	欺骗；迷惑
delusion，n.	错觉；妄想
deluxe edition，n.	豪华版
deluxe suite，n.	豪华套房
demand，n.	要求；需求
demand，v.	要求；需要
demand information of customers，idiom/phrase: 要求顾客提供信息	
demanding，adj.	要求高的；费力的
dementia，n.	痴呆
demerit，n.	缺点；过失
demilitarize，v.	使非军事化
demise，n.	死亡；终止
demise，v.	遗赠；转让
demobilize，v.	使复员；遣散
democracy，n.	民主；民主国家
democrat，n.	民主主义者；（美国）民主党人
democratic，adj.	民主的
demographer，n.	人口统计学家
demographic，adj.	人口统计的
demolish，v.	拆除；推翻
demolition，n.	拆除；毁坏
demon，n.	恶魔；魔鬼
demonstrate，v.	证明；展示；示威
demonstration，n.	证明；示范；示威游行
demonstrations，n.	示威游行（复数）
demonstrative，adj.	公开表露感情的
demonstrative，n.	指示词
demonstrator，n.	示威者；示范者
denial，n.	否认；拒绝
denomination，n.	（货币）面额；教派
denotation，n.	字面意义；表示
denote，v.	表示；意指
denounce，v.	谴责；告发
dense，adj.	密集的；稠密的；愚钝的
density，n.	密度
dental，adj.	牙科的；牙齿的
dental，n.	齿音
deny，v.	否认；拒绝
depart，v.	离开；出发
department，n.	部；部门；系
department head，n.	系主任
department store，n.	百货公司
departmental，adj.	部门的
departure，n.	离开；出发；背离
departure airport，n.	出发机场
departure gate，n.	登机口
departure lounge，n.	候机室
departure platform，n.	发车站台
depend，v.	依赖；取决于
depend on，idiom/phrase: 依赖；取决于	
dependence，n.	依赖；依靠
dependency，n.	依赖；附属国
dependent，adj.	依赖的；取决于…的
dependent，n.	受抚养人
depict，v.	描绘；描述
depiction，n.	描绘；描述
deplete，v.	耗尽；使枯竭
depleted，adj.	耗尽的
depletion，n.	消耗；耗尽
deploy，v.	部署；调动
deployment，n.	部署；调动
deposit，n.	存款；押金；沉淀物
deposit，v.	存放；使沉淀
deposit premium u，n.	预付保证金
depositary，n.	受托人；保管人
deposition，n.	证词；罢免；沉积
depreciate，v.	（使）贬值；轻视
depress，v.	使沮丧；使萧条；压下
depressed，adj.	沮丧的；萧条的
depression，n.	沮丧；抑郁症；经济萧条
deprival，n.	剥夺
deprivation，n.	剥夺；丧失；贫困
deprive，v.	剥夺；使丧失
deprived，adj.	贫困的；被剥夺的
depth，n.	深度；深处；深刻
deputy，adj.	副的；代理的
deputy，n.	副手；代理人
deregulate，v.	解除管制
deregulation，n.	解除管制
derelict，adj.	废弃的；玩忽职守的
derelict，n.	遗弃物；无家可归者
dereliction，n.	玩忽职守；遗弃
derision，n.	嘲笑；嘲弄
derivative，adj.	派生的；无创意的
derivative，n.	派生词；衍生物
derive，v.	源于；来自；获得
derrick，n.	井架；起重机
desalination，n.	海水淡化
descend，v.	下降；下来；是…的后裔
descendant，n.	后代；后裔
description，n.	描述；说明
descriptor，n.	描述符
desert，adj.	沙漠的；荒凉的
desert，n.	沙漠；荒漠
desert，v.	抛弃；遗弃；擅离职守
desert island，idiom/phrase: 荒岛	
deserts，n.	应得的赏罚
deserve，v.	值得；应得
design，n.	设计；图案；意图
design，v.	设计；构思
design division，n.	设计部门
design phase，n.	设计阶段
design research，n.	设计研究
designate，adj.	指定的
designate，v.	指定；指派；标明
designation，n.	指定；名称；称号
designed development，idiom/phrase: 设计开发	
designer，adj.	由设计师专门设计的
designer，n.	设计师
designers，n.	设计师（复数）
desirable，adj.	值得拥有的；可取的；性感的
desire，n.	欲望；渴望
desire，v.	渴望；想要
desk，n.	书桌；办公桌；服务台
desk clerk，n.	接待员
desk clock，n.	台钟
desktop，n.	桌面；台式电脑
desolate，adj.	荒凉的；孤寂的
desolate，v.	使荒芜；使孤寂
despair，n.	绝望
despair，v.	绝望
despatch，n.	发送；派遣；快件
despatch，v.	发送；派遣
desperate，adj.	绝望的；不顾一切的；极度渴望的
desperately，adv.	拼命地；极度地
